SMILES,n_np
Brc1cccc(c1N=C1NCCN1)Br,1
Brc1cc(Br)cc(c1N=C1NCCN1)Br,1
O=c1c(Br)ccc2n1C[C@@H]1CNC[C@@H]2C1,1
Cc1ccc(cc1)C,1
Cc1ccccc1C,1
Cc1cccc(c1)C,1
Cc1ccccc1,1
Cc1cn([C@H]2O[C@@H](C=C2)CO)c(=O)[nH]c1=O,1
O=c1cc(n(n1c1ccccc1)C)C,1
Cc1ccnc2c1[nH]c(=O)c1c(n2C2CC2)nccc1,1
Nc1ccc(cc1)S(=O)(=O)Nc1onc(c1C)C,1
Brc1cnc(c(c1)C)CCCCNc1ncc(c(=O)[nH]1)Cc1ccc(nc1)C,0
N#C/N=C(/NCCSCc1csc(n1)N=C(N)N)\NC,1
C1CCCCC1,1
C1CCN(CC1)Cc1cccc(c1)OCCCNc1nc2c(s1)cccc2,1
C1CCN(CC1)Cc1cccc(c1)OCCCNc1ccccn1,1
C1CCN(CC1)Cc1cccc(c1)OCCCNc1nccs1,1
C1CCN(CC1)Cc1cccc(c1)OCCCNc1nc2c(o1)cccc2,1
C=C,1
C=CC[C@@H](c1ccccc1c1noc2c1cccc2)N,1
C=COC=C,1
C=CC1CN2CCC1CC2[C@H](c1ccnc2c1cc(OC)cc2)O,0
CC#CC1(O)CC[C@@H]2C1(C)C[C@@H](c1ccc(cc1)N(C)C)C1=C3CCC(=O)C=C3CC[C@@H]21,0
CC(=O)Cn1nc(ccc1=O)c1c(nn2c1cccc2)c1ccccc1,1
O[C@H]1CCN(C1)C[C@H]1CN(CCN1C(=O)Cc1ccc(c(c1)Cl)Cl)C(=O)C,0
O[C@H]1CCN(C1)C[C@H]1CN(CCN1C(=O)Cc1ccccc1)C(=O)C,0
CC(=O)Nc1cccc(c1)c1csc(n1)N=C(N)N,0
O=C1CCC2(C(=C1)CC[C@@H]1[C@@H]2CCC2([C@H]1CCC2C(=O)C)C)C,1
OC(=O)C(c1ccc(cc1)C(=O)CCCN1CCC(CC1)OC(c1ccccc1)c1ccccc1)(C)C,0
FC(Oc1ccc(cc1CN[C@H]1CCCN[C@H]1c1ccccc1)C(C)(C)C)(F)F,1
O=c1ccnc([nH]1)SCCCN1CCN(CC1)c1cc(nc(n1)C(C)(C)C)C(F)(F)F,1
OCc1cc(ccc1O)[C@@H](CNC(C)(C)C)O,0
Brc1ccc2c(c1)C(=O)N1CCC[C@H]1c1n2cnc1C(=O)OC(C)(C)C,1
ClCCN(c1ccc(cc1)CCCC(=O)OC(C)(C)C)CCCl,1
CC(C(F)(F)F)(O)C,1
CC(O)C,1
CC(Cc1ccc(cc1)[C@@H](C(=O)O)C)C,1
CN1Cc2c(ncn2c2c(C1=O)c(Cl)ccc2)c1noc(n1)C(C)C,1
CCCC(C)C,1
CC(C[C@H]1C(=O)N2CCC[C@H]2C2(N1C(=O)C(O2)(NC(=O)[C@@H]1CN(C)[C@@H]2C(=C1)c1cccc3c1c(C2)c([nH]3)Br)C(C)C)O)C,0
CC(Nc1cccnc1N1CCN(CC1)C(=O)c1cc2c([nH]1)ccc(c2)NS(=O)(=O)C)C,0
CC(NC[C@H](c1ccc(cc1)NS(=O)(=O)C)O)C,1
O[C@H](COc1ccc(cc1)CC(=O)N)CNC(C)C,0
O[C@H](COc1cccc2c1cc[nH]2)CNC(C)C,1
CC([C@H](N(C(=O)Cc1ccc(c(c1)Cl)Cl)C)CN1CCCC1)C,1
CC(=O)C,1
CC(Oc1cc2sc(nc2cc1CN[C@H]1CCCN[C@H]1c1ccccc1)C)C,1
CC(Oc1ccc(cc1CN[C@H]1CCCN[C@H]1c1ccccc1)OC(F)(F)F)C,1
C[C@@H](OC(=O)c1ncn2c1CN(C)C(=O)c1c2ccc(c1)F)F,1
CC(Cl)(Cl)Cl,1
CCc1nccc(c1)C(=S)N,1
CCc1ccccc1,1
CCc1nc(N)nc(c1c1ccc(cc1)Cl)N,1
CC1CCCC1,1
CC12N[C@H](c3c2cccc3)Cc2c1cccc2,1
Cc1ccccc1N=C1NCCN1,0
Cc1ccc(c(c1)C)N=C1NCCN1,0
Cc1ccc(c(c1)Cl)N=C1NCCN1,1
Cc1cc(Br)cc(c1N=C1NCCN1)C,1
Clc1ccc(c(c1)C)N=C1NCCN1,1
C[C@@H]1c2ccccc2N(c2c([C@H]1C)cccc2)C(=O)N,1
CC1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(cc2)C(F)(F)F,1
O=C(NC1C(=O)N2[C@H]1SC([C@@H]2C(=O)O)(C)C)COc1ccccc1,0
Cc1cccc2c1Oc1ccccc1C1([C@@H]2CNCC1)O,1
CCC(C)(C)C,1
CCC(CC)C,1
CCC(=O)C,1
CC[C@@H](N1CCN(CC1)c1ccc(cc1)I)C,1
CC[C@@H](Nc1ccc(c(c1)N[C@H](CC)C)I)C,1
CCc1cccc(c1)N/C(=N\c1cccc(c1)CC)/C,1
CCc1ccc(cc1)C(=O)C(CN1CCCC1)C,1
CCc1cccc(c1)N/C(=N/c1cccc(c1)CC)/C,1
CCCCC,1
CCCCC(C)C,1
CCCCC1C(=O)N(N(C1=O)c1ccccc1)c1ccccc1,1
CCCCCC,1
CCCCCC1(CC)C(=O)NC(=O)NC1=O,1
CCCCCCC,1
Cc1c(O)c(=O)ccn1CCCCCC,1
Cc1c(O)c(=O)ccn1CCCCC,1
Cc1c(O)c(=O)ccn1CCCC,1
CCCCNC(=O)NS(=O)(=O)c1ccc(cc1)C,0
CCCN(CCC)CCc1ccc(c2c1CC(=O)N2)O,1
CCCN(CCc1ccc(c2c1CC(=N2)C)O)CCC,1
CCCN(CCc1cc(O)c2c(c1)CC(=O)N2)CCC,1
CCCN(CCc1ccc2c(c1)CC(=O)N2)CCC,1
CCCN1CN(C2(C1=O)CCN(CC2)CCCC(=O)c1ccc(cc1)F)c1ccc(cc1)Br,1
